material_line,mu,part_number,OD_mm,ID_mm,HT_mm,Ae_mm2,Le_mm,Ve_cm3,Wa_mm2,Ap_mm4,AL_min_nH,AL_nom_nH,AL_max_nH,AL_tolerance_pct,MLT_0wf,MLT_20wf,MLT_25wf,MLT_30wf,MLT_35wf,MLT_40wf,MLT_45wf,MLT_50wf,MLT_60wf,MLT_70wf,wound_OD_40wf_mm,wound_HT_40wf_mm,wound_OD_max_mm,wound_HT_max_mm,SA_core_mm2,SA_40wf_mm2,awg_sl_min,awg_sl_max,awg_sl_count,awg_sl_turns_rdc,note,coated,coating_note,datasheet_url,data_source
High Flux,125,C058140A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,24,26.0,28,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058140A2.pdf,MagInc_2025_catalog
MPP,125,C055140A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,24,26.0,28,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055140A2.pdf,MagInc_2025_catalog
MPP,147,C055139A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,29,31.0,33,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055139A2.pdf,MagInc_2025_catalog
MPP,160,C055138A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,30,33.0,36,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055138A2.pdf,MagInc_2025_catalog
MPP,173,C055134A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,33,36.0,39,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055134A2.pdf,MagInc_2025_catalog
MPP,200,C055137A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,39,42.0,45,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055137A2.pdf,MagInc_2025_catalog
MPP,300,C055135A2,4.19,1.27,2.16,1.3,8.06,0.0105,1.3,2.0,57,62.0,67,8,7.2,7.6,7.7,7.7,7.8,7.9,8.0,8.1,8.3,8.5,4.3,2.6,5.0,2.7,60.0,70.0,30,49,17,AWG30:10T/0.0286ohm; AWG31:11T/0.0392ohm; AWG35:20T/0.172ohm; AWG36:23T/0.246ohm; AWG37:25T/0.328ohm; AWG38:28T/0.461ohm; AWG39:33T/0.704ohm; AWG40:38T/1.03ohm; AWG41:43T/1.42ohm; AWG42:49T/2.01ohm; AWG43:55T/2.91ohm; AWG44:59T/3.76ohm; AWG45:69T/5.65ohm; AWG46:76T/7.8ohm; AWG47:85T/11.0ohm; AWG48:98T/16.0ohm; AWG49:109T/22.2ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C055135A2.pdf,MagInc_2025_catalog
Kool Mu,60,0077151A7,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,16,17.0,18,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077151A7.pdf,MagInc_2025_catalog
High Flux,60,C058151A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,16,17.0,18,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/C058151A2.pdf,MagInc_2025_catalog
MPP,60,0055151A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,16,17.0,18,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055151A2.pdf,MagInc_2025_catalog
Kool Mu,75,0077155A7,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,19,21.0,23,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077155A7.pdf,MagInc_2025_catalog
High Flux,75,0058155A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,19,21.0,23,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058155A2.pdf,MagInc_2025_catalog
MPP,75,0055155A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,19,21.0,23,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055155A2.pdf,MagInc_2025_catalog
Kool Mu,90,0077154A7,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,23,25.0,27,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077154A7.pdf,MagInc_2025_catalog
High Flux,90,0058154A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,23,25.0,27,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0058154A2.pdf,MagInc_2025_catalog
MPP,90,0055154A2,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,23,25.0,27,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0055154A2.pdf,MagInc_2025_catalog
Kool Mu,125,0077150A7,4.57,1.73,3.18,2.1,9.42,0.0199,2.3,5.0,32,35.0,38,8,9.2,9.6,9.8,9.8,10.0,10.1,10.2,10.3,10.6,10.9,4.8,3.7,5.8,4.8,90.0,110.0,28,47,17,AWG28:11T/0.0251ohm; AWG30:15T/0.0529ohm; AWG33:22T/0.149ohm; AWG34:25T/0.218ohm; AWG35:28T/0.3ohm; AWG36:32T/0.427ohm; AWG37:35T/0.574ohm; AWG38:40T/0.826ohm; AWG39:46T/1.23ohm; AWG40:53T/1.8ohm; AWG41:59T/2.44ohm; AWG42:68T/3.52ohm; AWG43:76T/5.06ohm; AWG44:82T/6.6ohm; AWG45:96T/9.93ohm; AWG46:105T/13.6ohm; AWG47:117T/19.1ohm,,true,Coated core. A2 finish for HF/MPP/Edge. A7 finish for KM/XFlux. Min 2kVAC for OD>=17.27mm.,https://www.mag-inc.com/Media/Magnetics/Datasheets/0077150A7.pdf,MagInc_2025_catalog
